time;Lat;Lon;length;width;min_max_zeta_850;min_hgt_850;max_wind_850
2024-02-14 21Z;-24.75;-43.75;5.0;5.0;-0.0005961672071821;1514.687255859375;13.875685691833496
2024-02-15 00Z;-24.5;-43.0;5.0;5.0;-0.0002502308106507;1530.3873291015625;10.048372268676758
2024-02-15 03Z;-24.0;-42.25;5.0;5.0;-0.0002554120811313;1526.1988525390625;8.368728637695312
2024-02-15 06Z;-24.5;-41.0;5.0;5.0;-9.941927222894192e-05;1516.378173828125;8.881308555603027
2024-02-15 09Z;-25.0;-42.0;5.0;5.0;-0.0003278945873436;1512.600830078125;8.889627456665039
2024-02-15 12Z;-25.0;-40.5;5.0;5.0;-0.0001396704102046;1523.6324462890625;12.33596897125244
2024-02-15 15Z;-25.25;-40.0;5.0;5.0;-0.00013661083352;1528.05224609375;13.607462882995604
2024-02-15 18Z;-25.0;-40.25;5.0;5.0;-0.0001570742604277;1517.8160400390625;13.96823787689209
2024-02-15 21Z;-25.5;-40.25;5.0;5.0;-0.0001541488594515;1516.3602294921875;15.866948127746582
2024-02-16 00Z;-24.75;-40.75;5.0;5.0;-0.0001872670112577;1522.3350830078125;14.982882499694824
2024-02-16 03Z;-24.75;-40.75;5.0;5.0;-0.0001907768373377;1517.6328125;15.759546279907228
2024-02-16 06Z;-24.5;-40.75;5.0;5.0;-0.0002276025031105;1503.67236328125;14.2761869430542
2024-02-16 09Z;-24.75;-40.5;5.0;5.0;-0.0002649840850076;1505.2779541015625;15.446249008178713
2024-02-16 12Z;-24.0;-39.75;5.0;5.0;-0.0003032749324169;1517.91650390625;16.060565948486328
2024-02-16 15Z;-24.75;-39.0;5.0;5.0;-0.0003559005718118;1511.554443359375;17.33405876159668
2024-02-16 18Z;-25.0;-39.0;5.0;5.0;-0.0003111798665104;1497.9925537109375;19.10857963562012
2024-02-16 21Z;-25.0;-39.25;5.0;5.0;-0.0003434662777287;1490.728271484375;19.43836784362793
2024-02-17 00Z;-24.5;-39.5;5.0;5.0;-0.0002795979467398;1501.2811279296875;18.925010681152344
2024-02-17 03Z;-24.5;-39.5;5.0;5.0;-0.000223790941529;1487.857177734375;19.810245513916016
2024-02-17 06Z;-24.5;-39.5;5.0;5.0;-0.0002431861239025;1474.607177734375;21.196813583374023
2024-02-17 09Z;-25.0;-39.25;5.0;5.0;-0.0002506137802412;1476.1956787109375;17.881669998168945
2024-02-17 12Z;-25.0;-39.5;5.0;5.0;-0.0002532376363286;1480.633544921875;15.609234809875488
2024-02-17 15Z;-25.0;-39.25;5.0;5.0;-0.0002807347670647;1475.10546875;16.083885192871094
2024-02-17 18Z;-25.0;-39.25;5.0;5.0;-0.0002542514941219;1464.12646484375;16.1495304107666
2024-02-17 21Z;-25.0;-39.25;5.0;5.0;-0.0002439737780215;1456.5594482421875;16.882415771484375
2024-02-18 00Z;-25.25;-39.25;5.0;5.0;-0.0002436220050937;1460.5936279296875;18.07370376586914
2024-02-18 03Z;-25.5;-39.5;5.0;5.0;-0.0002363327702455;1452.6080322265625;19.250896453857425
2024-02-18 06Z;-26.0;-39.5;5.0;5.0;-0.0002253356840088;1442.4327392578125;18.614221572875977
2024-02-18 09Z;-26.25;-39.75;5.0;5.0;-0.0002208499604005;1446.583740234375;19.15714263916016
2024-02-18 12Z;-26.75;-39.75;5.0;5.0;-0.0002321189881913;1452.6541748046875;19.753467559814453
2024-02-18 15Z;-27.5;-40.0;5.0;5.0;-0.0002909606154694;1447.828125;20.570993423461918
2024-02-18 18Z;-27.75;-40.75;5.0;5.0;-0.000271643698393;1430.53076171875;21.298471450805664
2024-02-18 21Z;-28.25;-41.0;5.0;5.0;-0.0002633313105798;1423.468017578125;21.450328826904297
2024-02-19 00Z;-28.75;-41.5;5.0;5.0;-0.0003156658715278;1411.58203125;24.852209091186523
2024-02-19 03Z;-29.0;-42.0;5.0;5.0;-0.0003058062886118;1404.389404296875;25.72776985168457
2024-02-19 06Z;-29.5;-42.25;5.0;5.0;-0.0003195045367436;1389.6337890625;23.043886184692383
2024-02-19 09Z;-30.0;-42.25;5.0;5.0;-0.0003382054747522;1391.5218505859375;23.72991752624512
2024-02-19 12Z;-30.25;-42.0;5.0;5.0;-0.0004735296038913;1370.2855224609375;29.93400001525879
2024-02-19 15Z;-31.0;-42.0;5.0;5.0;-0.0004212153406689;1370.5491943359375;29.963850021362305
2024-02-19 18Z;-31.5;-42.0;5.0;5.0;-0.0004579714163535;1364.572265625;28.99079322814941
2024-02-19 21Z;-31.75;-42.0;5.0;5.0;-0.0005332723789578;1358.374267578125;26.39837455749512
2024-02-20 00Z;-31.75;-42.25;5.0;5.0;-0.0004672534109834;1360.3846435546875;25.995529174804688
2024-02-20 03Z;-32.0;-42.25;5.0;5.0;-0.0004423899712173;1359.4852294921875;25.588342666625977
2024-02-20 06Z;-32.25;-42.0;5.0;5.0;-0.0004020875843725;1352.1417236328125;23.137163162231445
2024-02-20 09Z;-32.25;-41.75;5.0;5.0;-0.000375623625975;1362.17236328125;22.05068016052246
2024-02-20 12Z;-32.25;-42.0;5.0;5.0;-0.0003826908238476;1375.293212890625;20.2474422454834
2024-02-20 15Z;-32.25;-41.75;5.0;5.0;-0.0003665408682449;1383.623046875;18.614303588867188
2024-02-20 18Z;-32.25;-41.5;5.0;5.0;-0.0003597163173163;1382.8438720703125;19.072742462158203
2024-02-20 21Z;-32.0;-41.5;5.0;5.0;-0.0003445973678227;1391.0330810546875;19.7022647857666
2024-02-21 00Z;-32.25;-41.5;5.0;5.0;-0.000357897978692;1410.421630859375;21.91127014160156
2024-02-21 03Z;-32.25;-42.0;5.0;5.0;-0.0002975294300796;1415.7803955078125;20.542116165161133
2024-02-21 06Z;-32.25;-42.25;5.0;5.0;-0.0003008788475897;1415.7230224609375;16.960420608520508
2024-02-21 09Z;-32.25;-42.5;5.0;5.0;-0.000276557215683;1426.4049072265625;15.514334678649902
2024-02-21 12Z;-32.5;-42.25;5.0;5.0;-0.0002714461366648;1440.793701171875;15.440425872802734
2024-02-21 15Z;-32.75;-42.5;5.0;5.0;-0.0002485509505167;1444.151611328125;15.85959815979004
2024-02-21 18Z;-32.75;-42.75;5.0;5.0;-0.000238959224555;1439.4190673828125;15.224005699157717
2024-02-21 21Z;-33.0;-43.25;5.0;5.0;-0.000222754426537;1439.6046142578125;14.628289222717283
2024-02-22 00Z;-33.0;-43.5;5.0;5.0;-0.0002206309776152;1450.9744873046875;14.83746337890625
2024-02-22 03Z;-33.25;-44.0;5.0;5.0;-0.0001953846326699;1454.7052001953125;14.251580238342283
2024-02-22 06Z;-33.5;-44.0;5.0;5.0;-0.0001952902377478;1446.1683349609375;12.89926528930664
2024-02-22 09Z;-33.75;-44.25;5.0;5.0;-0.000175252916662;1459.254150390625;11.927786827087402
2024-02-22 12Z;-33.75;-44.5;5.0;5.0;-0.0001565215263621;1469.9483642578125;10.672722816467283
2024-02-22 15Z;-34.0;-44.5;5.0;5.0;-0.0001553895746858;1473.751953125;10.57479476928711
2024-02-22 18Z;-34.25;-44.75;5.0;5.0;-0.0001496046929023;1468.5985107421875;10.603981971740724
2024-02-22 21Z;-34.25;-44.75;5.0;5.0;-0.0001401089894334;1465.802978515625;11.05947208404541
